unix_ms,unity_time_s,frame_idx,condition,target_name,status,status_info,success_tracked,success_extended,pos_x_m,pos_y_m,pos_z_m,quat_x,quat_y,quat_z,quat_w,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m,gt_quat_x,gt_quat_y,gt_quat_z,gt_quat_w,trans_err_cm,rot_err_deg,jitter_cm,jitter_deg,frame_dt_ms,fps,state_update_ms,registration_ms,e2e_since_vuforia_ms,dropped_this_frame,dropped_frames_total,unity_alloc_mb,gfx_driver_mb,graphics_memory_mb,tracking_optimization,motion_hint,tracking_mode,world_center_mode
1787287262108,2.07121825,426,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.43874991,695.047791,0,,0,0,2,465.215973,594.263428,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262116,2.40134335,427,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,330.125122,3.02915454,0,,330.125092,1,3,459.823425,595.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262120,2.40849185,428,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,7.14837503,139.891937,7.14850426,,337.27359,0,3,459.759796,595.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262122,2.4108026,429,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,2.31075001,432.759918,2.31075287,,339.584351,0,3,459.330566,595.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262123,2.41191959,430,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.11708391,895.187866,1.11699104,,340.701355,0,3,459.346619,595.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262125,2.41302252,431,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.10287499,906.721069,1.10292435,,341.80426,0,3,459.374725,595.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262126,2.41408873,432,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.06616592,937.940247,1.06620789,,342.870483,0,3,459.383453,595.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262127,2.41511655,433,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.02795911,972.801392,1.02782249,,343.898285,0,3,459.360596,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262128,2.41608739,434,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.970749974,1030.13135,0.970840454,,344.869141,0,3,459.407013,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262128,2.41698456,435,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.897207975,1114.56873,0.897169113,,345.766296,0,3,459.454285,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262130,2.41878033,436,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.79579198,556.857361,1.79576874,,347.562073,0,3,459.500854,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262132,2.42008424,437,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.30395806,766.895874,1.30391121,,348.865997,0,3,459.546631,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262133,2.4212234,438,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,1.13916695,877.834412,1.13916397,,350.005157,0,3,459.592865,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262133,2.42198086,439,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.757332981,1320.4231,0.757455826,,350.762604,0,3,459.63916,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262134,2.42280602,440,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.82524997,1211.75403,0.825166702,,351.587769,0,3,459.686462,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262135,2.42358518,441,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.779042006,1283.62781,0.779151917,,352.366913,0,3,459.713837,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262136,2.42440057,442,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.815582991,1226.11682,0.815391541,,353.182312,0,3,459.700195,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262137,2.42520189,443,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.80112499,1248.24463,0.801324844,,353.983643,0,3,459.747375,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262138,2.4261198,444,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.918124974,1089.17639,0.91791153,,354.90155,0,3,459.794159,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787287262138,2.42687464,445,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,0.754666984,1325.08777,0.754833221,,355.656372,0,3,459.840912,599.435303,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
