unix_ms,unity_time_s,frame_idx,condition,target_name,status,status_info,success_tracked,success_extended,pos_x_m,pos_y_m,pos_z_m,quat_x,quat_y,quat_z,quat_w,cam_pos_x_m,cam_pos_y_m,cam_pos_z_m,cam_dist_m,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m,gt_quat_x,gt_quat_y,gt_quat_z,gt_quat_w,trans_err_cm,rot_err_deg,jitter_cm,jitter_deg,frame_dt_ms,fps,state_update_ms,registration_ms,e2e_since_vuforia_ms,dropped_this_frame,dropped_frames_total,unity_alloc_mb,gfx_driver_mb,graphics_memory_mb,tracking_optimization,motion_hint,tracking_mode,world_center_mode
1787288032836,1.06709516,1,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1067.09521,0.937123537,0,,,1,1,457.374542,425.742767,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033054,1.29033005,2,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,223.234924,4.47958565,0,,,1,2,469.421875,601.618835,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033064,1.30285668,3,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,12.5265827,79.8302307,0,,,0,2,469.542389,605.525085,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033068,1.306741,4,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,3.8843329,257.444458,0,,,0,2,469.597595,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033070,1.30822444,5,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1.48341703,674.119263,0,,,0,2,469.590057,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033071,1.30939746,6,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1.17299998,852.514954,0,,,0,2,469.636261,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033072,1.31007409,7,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.676667035,1477.83167,0,,,0,2,469.682404,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033072,1.31069624,8,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.622165978,1607.28821,0,,,0,2,469.728821,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033073,1.31148839,9,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.792124987,1262.427,0,,,0,2,469.775024,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033074,1.31216812,10,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.679749966,1471.12915,0,,,0,2,469.821442,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033075,1.31388545,11,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,1.71733403,582.297913,0,,,0,2,469.866455,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033076,1.31456387,12,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.678416014,1474.02185,0,,,0,2,469.912415,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033077,1.31527507,13,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.711166978,1406.13953,0,,,0,2,469.958466,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033078,1.31602216,14,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.747166991,1338.38892,0,,,0,2,470.004333,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033078,1.31677067,15,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.748458028,1336.08032,0,,,0,2,470.050751,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033079,1.31736672,16,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.596042037,1677.73401,0,,,0,2,470.09729,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033079,1.31798589,17,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.619125009,1615.18262,0,,,0,2,470.143188,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033080,1.31871819,18,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.732333004,1365.49902,0,,,0,2,470.188843,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033081,1.31937695,19,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.658791959,1517.92981,0,,,0,2,470.235352,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033081,1.31996095,20,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.58395797,1712.4519,0,,,0,2,470.281647,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033082,1.32045531,21,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.494416982,2022.58423,0,,,0,2,470.328064,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033082,1.32096958,22,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.51425004,1944.57947,0,,,0,2,470.374451,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033083,1.32156479,23,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.595166028,1680.20349,0,,,0,2,470.420868,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
1787288033084,1.3221662,24,rear_visible_static,iPhone16ProMax,NO_POSE,NOT_OBSERVED,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.400000006,0,0,0,1,,,,,0.601459026,1662.62366,0,,,0,2,470.467285,594.858459,38338,DEFAULT,ADAPTIVE,CAR,DEVICE
