unix_ms,unity_time_s,frame_idx,condition,target_name,status,status_info,success_tracked,success_extended,pos_x_m,pos_y_m,pos_z_m,quat_x,quat_y,quat_z,quat_w,cam_pos_x_m,cam_pos_y_m,cam_pos_z_m,cam_dist_m,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m,gt_quat_x,gt_quat_y,gt_quat_z,gt_quat_w,trans_err_cm,rot_err_deg,jitter_cm,jitter_deg,frame_dt_ms,fps,state_update_ms,registration_ms,e2e_since_vuforia_ms,dropped_this_frame,dropped_frames_total,unity_alloc_mb,gfx_driver_mb,graphics_memory_mb,tracking_optimization,motion_hint,tracking_mode,world_center_mode
1787973282506,1.67278421,1,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,1672.78418,0.597805738,0,,,1,1,305.777832,251.182709,38338,DEFAULT,ADAPTIVE,CAR,
1787973282774,1.94374228,2,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,270.95813,3.69060707,0,,,1,2,317.617859,275.734863,38338,DEFAULT,ADAPTIVE,CAR,
1787973282786,1.95702457,3,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,13.2822495,75.2884521,0,,,0,2,317.746307,279.641113,38338,DEFAULT,ADAPTIVE,CAR,
1787973282789,1.96017969,4,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,3.15516686,316.94043,0,,,0,2,317.80127,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282791,1.96229553,5,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,2.1157918,472.636261,0,,,0,2,317.832916,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282792,1.96341157,6,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,1.11608303,895.990723,0,,,0,2,317.87323,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282793,1.96426487,7,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.853332996,1171.87549,0,,,0,2,317.913635,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282794,1.9650439,8,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.779042006,1283.62781,0,,,0,2,317.95459,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282794,1.96574628,9,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.702292025,1423.90906,0,,,0,2,317.995514,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282795,1.9664402,10,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.693958044,1441.0094,0,,,0,2,318.036865,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282796,1.96704876,11,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.608542025,1643.27197,0,,,0,2,318.077606,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282796,1.96794534,12,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.896624982,1115.29346,0,,,0,2,318.117889,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282798,1.96912289,13,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,1.17750001,849.256897,0,,,0,2,318.158051,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282799,1.97013855,14,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,1.01566601,984.575562,0,,,0,2,318.198059,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282799,1.97092891,15,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.790374994,1265.22217,0,,,0,2,318.238617,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282800,1.97184217,16,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.913291991,1094.94006,0,,,0,2,318.279205,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282801,1.97280812,17,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.965957999,1035.2417,0,,,0,2,318.319427,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282802,1.97366381,18,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.855583966,1168.79236,0,,,0,2,318.360352,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282803,1.97444689,19,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.783165991,1276.86853,0,,,0,2,318.401306,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282804,1.97523642,20,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.789499998,1266.62439,0,,,0,2,318.441315,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282804,1.97594547,21,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.709083974,1410.27014,0,,,0,2,318.482086,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282805,1.97653234,22,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.586791039,1704.1842,0,,,0,2,318.523041,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282806,1.977144,23,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.611750007,1634.65466,0,,,0,2,318.563995,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282806,1.97773767,24,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.593584001,1684.68164,0,,,0,2,318.60495,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282807,1.97833872,25,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.601082981,1663.66382,0,,,0,2,318.645905,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282807,1.97895384,26,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.615082979,1625.79688,0,,,0,2,318.686127,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282808,1.97984254,27,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.888750017,1125.17578,0,,,0,2,318.726685,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282809,1.98077321,28,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.930666983,1074.49817,0,,,0,2,318.76712,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282810,1.98155284,29,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.77966702,1282.59888,0,,,0,2,318.808044,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282811,1.98223841,30,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.685582995,1458.61267,0,,,0,2,318.850739,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282811,1.98295689,31,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.718457997,1391.86987,0,,,0,2,318.889954,268.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282812,1.9836688,32,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.711874962,1404.74109,0,,,0,2,318.931519,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282813,1.98444772,33,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.778874993,1283.90308,0,,,0,2,318.971619,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282814,1.98503637,34,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.588666975,1698.7533,0,,,0,2,319.012543,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282814,1.98562682,35,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.590499997,1693.4801,0,,,0,2,319.053497,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282815,1.9862442,36,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.617332995,1619.87134,0,,,0,2,319.094452,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282815,1.98682988,37,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.585749984,1707.21301,0,,,0,2,319.135284,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282816,1.98760295,38,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.773083985,1293.52051,0,,,0,2,319.175598,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282817,1.9883337,39,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.730749965,1368.45715,0,,,0,2,319.215942,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282818,1.98915541,40,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.821666002,1217.03955,0,,,0,2,319.256348,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282818,1.98984408,41,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.688666999,1452.08057,0,,,0,2,319.297302,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282819,1.99054933,42,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.705250025,1417.93689,0,,,0,2,319.338226,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282820,1.99124324,43,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.693958044,1441.0094,0,,,0,2,319.379181,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282820,1.99183226,44,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.588917017,1698.0321,0,,,0,2,319.373322,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282821,1.99243605,45,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.60383302,1656.08704,0,,,0,2,319.414246,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282822,1.9930464,46,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.610375047,1638.33704,0,,,0,2,319.4552,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282822,1.99363351,47,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.587042034,1703.45557,0,,,0,2,319.496155,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282823,1.99423707,48,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.603625,1656.65759,0,,,0,2,319.537109,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282823,1.99483609,49,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.599000037,1669.44897,0,,,0,2,319.578033,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282824,1.99543917,50,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.603083014,1658.14661,0,,,0,2,319.6203,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282824,1.996032,51,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.592791975,1686.93237,0,,,0,2,319.660675,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282825,1.99665463,52,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.622708023,1605.88916,0,,,0,2,319.701233,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282826,1.99734068,53,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.686042011,1457.63672,0,,,0,2,319.741669,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282826,1.99793696,54,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.596249998,1677.1488,0,,,0,2,319.782593,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282827,1.99854112,55,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.604207993,1655.0592,0,,,0,2,319.823547,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
1787973282828,1.99913371,56,unnamed,,NO_POSE,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0.592584014,1687.52441,0,,,0,2,319.864502,264.974457,38338,DEFAULT,ADAPTIVE,CAR,
